Unnamed: 0,Rank,Player,Age,Events,Rounds,Cuts Made,Top 10s,Wins,Earnings,Yards/Drive,Driving Accuracy,Greens in Regulation,Putting Average,Sand Save Pct,Eagles,Birdies,Pars,Bogies
93,94.0,Ricky Barnes,37.0,29.0,93.0,19.0,4.0,0.0,1158800.0,287.6,54.3,65.8,1.74,52.4,2.0,354.0,1065.0,229.0
94,95.0,Scott Brown,34.0,27.0,87.0,17.0,4.0,0.0,1143452.0,292.5,63.7,65.0,1.77,50.0,7.0,301.0,999.0,233.0
95,96.0,Lee Westwood,44.0,7.0,22.0,6.0,1.0,0.0,1138810.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,6.0,65.0,240.0,78.0
96,97.0,Jonas Blixt,33.0,26.0,76.0,14.0,2.0,0.0,1115322.0,290.3,57.8,61.0,1.73,61.3,8.0,282.0,843.0,201.0
97,98.0,Chez Reavie,36.0,27.0,86.0,17.0,2.0,0.0,1086964.0,287.3,68.2,68.1,1.78,53.2,14.0,298.0,1010.0,205.0
98,99.0,Brett Stegmaier,35.37433155080214,29.0,86.0,16.0,3.0,0.0,1086714.0,295.3,60.9,66.8,1.8,41.2,6.0,292.0,983.0,226.0
99,100.0,Johnson Wagner,38.0,26.0,86.0,17.0,3.0,0.0,1083787.0,289.4,61.1,69.4,1.78,46.0,9.0,309.0,991.0,210.0
100,101.0,Francesco Molinari,35.0,18.0,64.0,14.0,3.0,0.0,1083155.0,286.7,63.8,64.9,1.79,44.7,7.0,212.0,747.0,170.0
101,102.0,Andrew Loupe,29.0,27.0,75.0,11.0,4.0,0.0,1075276.0,309.3,45.6,63.4,1.74,45.3,9.0,298.0,774.0,228.0
102,103.0,Adam Hadwin,30.0,27.0,93.0,20.0,2.0,0.0,1067809.0,290.1,63.6,66.1,1.73,54.8,7.0,357.0,1047.0,228.0
103,104.0,Cameron Tringale,30.0,25.0,77.0,15.0,1.0,0.0,1064066.0,285.1,59.6,65.7,1.76,48.6,7.0,279.0,856.0,227.0
104,105.0,Hudson Swafford,30.0,30.0,104.0,22.0,1.0,0.0,1027314.0,306.9,61.4,68.8,1.77,49.1,13.0,395.0,1159.0,261.0
105,106.0,Tyrone van Aswegen,36.0,31.0,102.0,22.0,2.0,0.0,1025632.0,288.0,52.9,64.8,1.79,59.0,7.0,334.0,1198.0,262.0
106,107.0,Robert Garrigus,40.0,21.0,65.0,13.0,3.0,0.0,1024900.0,303.3,53.9,69.3,1.78,39.5,7.0,260.0,703.0,176.0
107,108.0,John Huh,27.0,28.0,85.0,16.0,3.0,0.0,1007219.0,284.7,68.3,66.2,1.79,59.4,6.0,286.0,1006.0,203.0
108,109.0,Jon Rahm,23.0,9.0,30.0,7.0,3.0,0.0,1004035.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,5.0,132.0,318.0,71.0
109,110.0,Robert Streb,31.0,27.0,84.0,17.0,1.0,0.0,1003363.0,294.7,57.5,66.2,1.81,45.9,9.0,275.0,957.0,252.0
110,111.0,Boo Weekley,44.0,26.0,83.0,15.0,2.0,0.0,991660.0,291.5,67.0,67.9,1.79,42.5,6.0,306.0,937.0,213.0
111,112.0,John Senden,47.0,28.0,86.0,16.0,1.0,0.0,989841.0,289.7,60.1,68.9,1.78,48.2,5.0,304.0,1007.0,207.0
